frame 300
p 1
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.036709030 -0.251115832 0.756662421
-0.153530215 -0.293195641 0.992699586
-0.153090124 -0.223282517 1.260697971
-0.115080869 0.110080029 1.263080682
-0.114982108 0.180947655 0.995326110
0.008533984 0.103020292 0.813017314
-0.101886074 -0.049018919 1.425052909
-0.049283728 -0.066368136 1.645381145
p 3
1.347059566 -0.567310117 0.004916795
1.253472555 -0.514152648 0.385686495
1.130751704 -0.500222491 0.813234234
0.944716825 -0.648414786 0.818691673
0.973877781 -0.672613347 0.383962597
1.017122469 -0.691119168 0.022179719
1.059726678 -0.408991668 1.023439994
1.170181007 -0.399576339 1.155940504
1.175877844 -0.469141891 1.357363817
0.921020753 -0.641680619 1.373232581
0.858307463 -0.741327948 1.127290200
0.849492882 -0.478188677 1.061690488
1.030398712 -0.503041832 1.468326747
0.993370243 -0.449264882 1.623780253
frame 307
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.036921972 -0.258959217 0.767959849
-0.148428044 -0.300472072 0.981917756
-0.153090124 -0.223282517 1.260697971
-0.115080869 0.110080029 1.263080682
-0.114982108 0.180947655 0.995326110
0.008533984 0.103020292 0.813017314
-0.101886074 -0.049018919 1.425052909
-0.049283728 -0.066368136 1.645381145
p 3
1.337998699 -0.567984600 0.009697326
1.267938816 -0.523391997 0.393103957
1.101388378 -0.497898225 0.818699239
0.916032170 -0.645094504 0.824227630
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
1.033005484 -0.407665720 1.027219561
1.143227023 -0.398308835 1.159079540
1.149041701 -0.467300724 1.359629859
0.858120743 -0.628852768 1.368626032
0.834738563 -0.728235480 1.114781132
0.799196179 -0.467936995 1.058886853
1.005051846 -0.501118228 1.470004130
0.969133903 -0.447634603 1.624716987
frame 308
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.035365308 -0.260041173 0.769077706
-0.146905574 -0.301505205 0.983082561
-0.151642260 -0.224180118 1.261916804
-0.113745430 0.109313946 1.264209118
-0.113664627 0.180144570 0.996379548
0.010006844 0.102076191 0.814040061
-0.095527020 -0.057783470 1.420637721
-0.029563971 -0.096215466 1.628377076
p 3
1.295470788 -0.559767429 0.017409992
1.232637961 -0.509839006 0.387273268
1.101388378 -0.497898225 0.818699239
0.916032170 -0.645094504 0.824227630
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
1.008209188 -0.409811897 1.035750737
1.143227023 -0.398308835 1.159079540
1.149041701 -0.467300724 1.359629859
0.858120743 -0.628852768 1.368626032
0.793120951 -0.719516428 1.115248784
0.776257300 -0.465238467 1.060511785
0.975448211 -0.496302765 1.467837130
0.980210560 -0.449370425 1.625717830
frame 309
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.038726817 -0.259890408 0.769854098
-0.150029310 -0.301328846 0.983667521
-0.154208552 -0.231840466 1.267527591
-0.125654916 0.125650589 1.275217640
-0.116481478 0.179898512 0.996845650
0.006920333 0.101872962 0.814663173
-0.098225915 -0.057857475 1.420845329
-0.032218227 -0.096262950 1.628464844
p 3
1.235010491 -0.542673687 0.021468941
1.187477759 -0.507730719 0.400498437
1.101388378 -0.497898225 0.818699239
0.916032170 -0.645094504 0.824227630
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
0.966885904 -0.404235581 1.036613389
1.120042582 -0.401515200 1.168486163
1.149041701 -0.467300724 1.359629859
0.874274017 -0.673220207 1.370630130
0.793120951 -0.719516428 1.115248784
0.781083547 -0.490694781 1.034125350
1.014537250 -0.563777435 1.466682008
1.028893821 -0.533378438 1.628468464
frame 310
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.083912620 -0.258786855 0.781787515
-0.180724181 -0.288195656 0.972135090
-0.195948465 -0.221025141 1.257285812
-0.117863411 0.117820498 1.287083837
-0.116481478 0.179898512 0.996845650
-0.011126048 0.106924303 0.810418030
-0.116644691 -0.057817376 1.421555484
-0.025212818 -0.096323261 1.628368690
p 3
1.192784993 -0.550818965 0.011092184
1.157812718 -0.542266215 0.407348201
1.101388378 -0.497898225 0.818699239
0.916032170 -0.645094504 0.824227630
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
0.983214722 -0.417309863 1.016971543
1.120042582 -0.401515200 1.168486163
1.149041701 -0.467300724 1.359629859
0.903540179 -0.717844423 1.357375049
0.813463253 -0.751120991 1.102374306
0.763337364 -0.491950358 1.018813386
0.998140879 -0.563743399 1.469928182
0.971598943 -0.533470065 1.638910429
frame 311
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.083912620 -0.258786855 0.781787515
-0.180724181 -0.288195656 0.972135090
-0.195948465 -0.221025141 1.257285812
-0.117863411 0.117820498 1.287083837
-0.116481478 0.179898512 0.996845650
-0.011126048 0.106924303 0.810418030
-0.115211814 -0.058066484 1.421927134
-0.020138420 -0.097238031 1.629826968
p 3
1.192784993 -0.550818965 0.011092184
1.147930548 -0.538795920 0.406187899
1.086621170 -0.488613184 0.809097529
0.908818768 -0.632491236 0.807872022
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
1.009931724 -0.418853966 1.013054835
1.120042582 -0.401515200 1.168486163
1.115372652 -0.465884358 1.364155419
0.847809123 -0.708811531 1.358979293
0.808522532 -0.756630312 1.078049786
0.770012521 -0.495095468 0.987896200
0.981603375 -0.562304120 1.471099350
0.977816281 -0.534002317 1.638577603
frame 312
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.083912620 -0.258786855 0.781787515
-0.180724181 -0.288195656 0.972135090
-0.195948465 -0.221025141 1.257285812
-0.117863411 0.117820498 1.287083837
-0.116481478 0.179898512 0.996845650
-0.011126048 0.106924303 0.810418030
-0.110506800 -0.057962906 1.421634110
-0.003466196 -0.096904213 1.629189129
p 3
1.192784993 -0.550818965 0.011092184
1.161891170 -0.536009280 0.397142017
1.078051998 -0.483222585 0.803680529
0.893665887 -0.619812172 0.794990883
0.948466465 -0.669693511 0.390717878
1.006160380 -0.689764640 0.025834942
0.992102146 -0.417826926 1.015667573
1.151013396 -0.405258212 1.168250137
1.119233812 -0.461375394 1.355464803
0.857602419 -0.689583187 1.348945631
0.801685145 -0.753448799 1.089842926
0.752328823 -0.506819888 0.956747626
0.981603375 -0.562304120 1.471099350
0.977816281 -0.534002317 1.638577603
frame 313
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.028587765 0.083137606 0.332679978
-0.010885512 0.149091105 -0.057227618
-0.080596963 -0.258945339 0.781018961
-0.177644512 -0.288350868 0.971552966
-0.193118658 -0.221102517 1.256941899
-0.115194827 0.118012489 1.286808259
-0.113664627 0.180144570 0.996379548
-0.008063128 0.107134125 0.809798133
-0.107817600 -0.057891133 1.421426466
-0.000790493 -0.096851788 1.629102708
p 3
1.192784993 -0.550818965 0.011092184
1.163226780 -0.527967761 0.385871921
1.084566419 -0.478913078 0.789659548
0.895909045 -0.623661449 0.794003968
0.933745864 -0.662449838 0.387393270
0.979802064 -0.680645865 0.027126414
1.021480985 -0.423289796 1.010842792
1.186616055 -0.404274555 1.153541149
1.125189087 -0.476837225 1.362220074
0.859907062 -0.693593355 1.348324541
0.811345090 -0.765566471 1.080729313
0.779214630 -0.544467093 0.920542028
0.973536992 -0.563805202 1.468277812
0.943319272 -0.529187756 1.629530383
frame 314
p 1
-0.138070239 -0.113707934 -0.036579473
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.004925367 0.084281864 0.337333526
-0.028915633 0.148007846 -0.049909793
-0.080596963 -0.258945339 0.781018961
-0.177644512 -0.288350868 0.971552966
-0.171764393 -0.222557141 1.255738705
-0.091206741 0.116414654 1.289439986
-0.113664627 0.180144570 0.996379548
-0.008063128 0.107134125 0.809798133
-0.085339508 -0.059527569 1.423148033
0.013118117 -0.097996919 1.631045082
p 3
1.192784993 -0.550818965 0.011092184
1.143832974 -0.491309903 0.384760127
1.084566419 -0.478913078 0.789659548
0.895909045 -0.623661449 0.794003968
0.933745864 -0.662449838 0.387393270
0.979802064 -0.680645865 0.027126414
1.040045813 -0.419741617 1.001385233
1.217532469 -0.412547702 1.160088668
1.125189087 -0.476837225 1.362220074
0.859907062 -0.693593355 1.348324541
0.811345090 -0.765566471 1.080729313
0.759468620 -0.540381184 0.898069803
0.973536992 -0.563805202 1.468277812
0.943319272 -0.529187756 1.629530383
frame 315
p 1
-0.138070239 -0.113707934 -0.036579473
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.004925367 0.084281864 0.337333526
-0.028915633 0.148007846 -0.049909793
-0.095488880 -0.229423009 0.804457497
-0.177644512 -0.288350868 0.971552966
-0.171764393 -0.222557141 1.255738705
-0.091206741 0.116414654 1.289439986
-0.113664627 0.180144570 0.996379548
-0.008063128 0.107134125 0.809798133
-0.085339508 -0.059527569 1.423148033
0.013118117 -0.097996919 1.631045082
p 3
1.190038110 -0.540710939 0.003698751
1.143832974 -0.491309903 0.384760127
1.060101181 -0.447178539 0.805715924
0.885095822 -0.606874883 0.800718997
0.923576694 -0.639974405 0.386949535
0.979802064 -0.680645865 0.027126414
1.078139246 -0.415560544 0.992972572
1.287670732 -0.416474430 1.159343659
1.159182192 -0.478193067 1.364836933
0.857602419 -0.689583187 1.348945631
0.812245855 -0.773007044 1.085950996
0.785323770 -0.579290138 0.879285826
0.970974791 -0.559738414 1.468831065
0.940738378 -0.525119827 1.629959333
frame 316
p 1
-0.138070239 -0.113707934 -0.036579473
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
0.004925367 0.084281864 0.337333526
-0.028915633 0.148007846 -0.049909793
-0.080903133 -0.230961673 0.802626602
-0.173333424 -0.272706414 0.987244841
-0.170402687 -0.186692452 1.259767774
-0.078697783 0.121432789 1.283439340
-0.103716736 0.182724090 1.001901936
0.003328198 0.112351103 0.809948063
-0.080196346 -0.042774993 1.427381500
-0.001766269 -0.035642774 1.642830802
p 3
1.190038110 -0.540710939 0.003698751
1.143832974 -0.491309903 0.384760127
1.060101181 -0.447178539 0.805715924
0.885095822 -0.606874883 0.800718997
0.923576694 -0.639974405 0.386949535
0.979802064 -0.680645865 0.027126414
1.121263857 -0.416432794 0.984994319
1.330952443 -0.426596009 1.166421079
1.159182192 -0.478193067 1.364836933
0.868399063 -0.689845257 1.346256746
0.830579265 -0.796921011 1.116785758
0.773540943 -0.586326495 0.893349349
0.970974791 -0.559738414 1.468831065
0.940738378 -0.525119827 1.629959333
frame 317
p 1
-0.138070239 -0.113707934 -0.036579473
-0.135351707 -0.114166709 0.352511304
-0.150719389 -0.120393713 0.706446337
-0.046448971 0.107977127 0.736444882
0.024288252 0.113679926 0.329201849
-0.022841794 0.143350299 -0.046939967
-0.059644799 -0.232758833 0.799303017
-0.159929665 -0.255323234 0.989752613
-0.151893235 -0.187896586 1.258924998
-0.070121953 0.139802859 1.290355327
-0.091794303 0.195464255 1.007303315
0.015441055 0.126001607 0.817391522
-0.062534099 -0.043065759 1.427374981
0.015466857 -0.035837250 1.643637795
p 3
1.190038110 -0.540710939 0.003698751
1.143832974 -0.491309903 0.384760127
1.091199868 -0.452900639 0.799363257
0.898115457 -0.579253684 0.795857824
0.949939604 -0.635278601 0.379511594
0.979802064 -0.680645865 0.027126414
1.188113181 -0.430949467 0.984930421
1.409422126 -0.441593029 1.167530561
1.188948939 -0.484211782 1.361962271
0.893823714 -0.701836259 1.352039764
0.838882747 -0.804698119 1.119241992
0.815214155 -0.615578844 0.882172437
0.966844696 -0.522345804 1.480342112
0.958997200 -0.517843322 1.630022405
frame 318
p 1
-0.137893393 -0.109480038 -0.049446944
-0.135351707 -0.114166709 0.352511304
-0.140223227 -0.096236574 0.714320785
-0.026365223 0.108232616 0.733226328
0.024288252 0.113679926 0.329201849
-0.022841794 0.143350299 -0.046939967
-0.054241710 -0.210020357 0.809820632
-0.144582436 -0.255915032 0.986953685
-0.137598253 -0.188145335 1.257216775
-0.056605530 0.140844747 1.288980272
-0.085497043 0.213216032 1.011464658
0.023502254 0.143150800 0.819222242
-0.059601317 -0.019231057 1.433605870
0.021522203 -0.030501756 1.654297365
p 3
1.200219002 -0.560250311 0.004372732
1.176855791 -0.536005154 0.349315994
1.102868852 -0.449850679 0.797754584
0.909815229 -0.576756089 0.794114473
0.949939604 -0.635278601 0.379511594
0.979802064 -0.680645865 0.027126414
1.206265277 -0.424115742 0.977750747
1.439582160 -0.441288631 1.168153103
1.212904868 -0.481774182 1.360408205
0.904433308 -0.699354829 1.351486455
0.850254534 -0.802699517 1.118152939
0.826517979 -0.613165957 0.880700952
0.976728119 -0.519267955 1.480092691
0.968519702 -0.514718919 1.629997403
frame 319
p 1
-0.137893393 -0.109480038 -0.049446944
-0.123599727 -0.104879303 0.343264887
-0.116925627 -0.090722646 0.709871333
-0.000773060 0.112037024 0.728292385
0.024288252 0.113679926 0.329201849
-0.022841794 0.143350299 -0.046939967
-0.034482820 -0.210620920 0.805453755
-0.133824745 -0.234508212 0.989066807
-0.131378810 -0.159597010 1.262837363
-0.050202730 0.165893803 1.290697045
-0.068618539 0.214877235 1.008779243
0.045613013 0.144719246 0.803305090
-0.045480475 -0.010733374 1.431504167
0.029259429 -0.001480837 1.649565370
p 3
1.200219002 -0.560250311 0.004372732
1.176855791 -0.536005154 0.349315994
1.100218342 -0.445909420 0.798809288
0.907505153 -0.572902251 0.795115521
0.949939604 -0.635278601 0.379511594
0.979802064 -0.680645865 0.027126414
1.239088866 -0.373757088 0.979931928
1.434090482 -0.399097962 1.189544075
1.217040636 -0.433639491 1.375881902
0.945531804 -0.700464166 1.348187206
0.870739500 -0.802010054 1.115826137
0.824352389 -0.609356121 0.881626160
0.990301972 -0.517792558 1.481682391
0.959780975 -0.509645930 1.629935511
frame 320
p 1
-0.137893393 -0.109480038 -0.049446944
-0.104890748 -0.106107310 0.338569270
-0.127042520 -0.070525576 0.725792783
-0.012292243 0.138156697 0.736571713
0.024288252 0.113679926 0.329201849
-0.013852357 0.127464343 -0.063411641
-0.037134907 -0.204485446 0.797330769
-0.132239239 -0.209323011 1.003701004
-0.105527510 -0.165057466 1.268066079
-0.049681867 0.182201781 1.305757198
-0.055114687 0.234358935 1.022460144
0.070441062 0.152457843 0.814077122
-0.051433323 0.006265147 1.432345719
0.031692626 -0.008102098 1.649521790
p 3
1.200219002 -0.560250311 0.004372732
1.157775734 -0.481459041 0.374132949
1.117519668 -0.411651771 0.788938705
0.933852624 -0.547409439 0.794518967
0.932227162 -0.607080573 0.391385917
0.979802064 -0.680645865 0.027126414
1.247214777 -0.366174248 0.979818660
1.441671620 -0.391052816 1.189683170
1.224279954 -0.425951213 1.376148666
0.953774641 -0.693814218 1.348271889
0.879903471 -0.795922085 1.115514872
0.833476001 -0.603101897 0.881087345
0.997584202 -0.510618941 1.481986195
0.966651261 -0.502427961 1.630344516
frame 321
p 1
-0.137893393 -0.109480038 -0.049446944
-0.121898407 -0.072202657 0.369524327
-0.089339619 -0.072055533 0.719655242
0.003366374 0.141541780 0.730492473
0.024288252 0.113679926 0.329201849
-0.013852357 0.127464343 -0.063411641
-0.025560489 -0.170163277 0.792419736
-0.114163324 -0.195947134 0.997874064
-0.100930158 -0.128810394 1.278410963
-0.026806203 0.180750931 1.296037253
-0.042394835 0.250319796 1.025139606
0.082275375 0.172183522 0.819435364
-0.037657020 0.020416940 1.432353956
0.031147226 0.035764164 1.655419609
p 3
1.200219002 -0.560250311 0.004372732
1.157775734 -0.481459041 0.374132949
1.109498044 -0.399901661 0.792132551
0.941764604 -0.563893023 0.795112774
0.932227162 -0.607080573 0.391385917
0.979802064 -0.680645865 0.027126414
1.252671384 -0.362406508 0.992632237
1.500152157 -0.394078575 1.205699058
1.246214899 -0.414922149 1.375688470
0.959538770 -0.683040145 1.348995165
0.905054258 -0.788339215 1.113512235
0.857744146 -0.601830812 0.888780505
1.057032346 -0.506277141 1.484431201
1.025253737 -0.500455733 1.638486297
frame 322
p 1
-0.137893393 -0.109480038 -0.049446944
-0.121898407 -0.072202657 0.369524327
-0.089254274 -0.050861563 0.723111165
-0.006747193 0.161518119 0.740980141
0.012845635 0.136115250 0.342405027
-0.013852357 0.127464343 -0.063411641
-0.013867045 -0.169382941 0.788370862
-0.108768816 -0.177610959 0.995276777
-0.090929903 -0.127950073 1.275917398
-0.026816920 0.200377469 1.301396614
-0.039256966 0.264372145 1.029535359
0.096929782 0.174355262 0.803559315
-0.036773119 0.043633213 1.436533929
0.038714155 0.048901554 1.658815587
p 3
1.200219002 -0.560250311 0.004372732
1.157775734 -0.481459041 0.374132949
1.109498044 -0.399901661 0.792132551
0.941764604 -0.563893023 0.795112774
0.915468849 -0.583845510 0.406785359
0.995674161 -0.699506299 0.006112924
1.278537124 -0.372364261 1.002701287
1.500152157 -0.394078575 1.205699058
1.246214899 -0.414922149 1.375688470
0.959538770 -0.683040145 1.348995165
0.905054258 -0.788339215 1.113512235
0.857744146 -0.601830812 0.888780505
1.057032346 -0.506277141 1.484431201
1.025253737 -0.500455733 1.638486297
frame 323
p 1
-0.137893393 -0.109480038 -0.049446944
-0.077722712 -0.071809061 0.355494888
-0.096098225 -0.031004048 0.727125597
-0.015886303 0.180526127 0.749095089
0.012845635 0.136115250 0.342405027
-0.016707033 0.134153338 -0.062492674
-0.008774709 -0.168465671 0.785792466
-0.104134527 -0.176727358 0.993047862
-0.096059027 -0.105692726 1.281951554
-0.034134750 0.227923257 1.303694741
-0.028856750 0.263902337 1.009696988
0.098821843 0.177613783 0.799228906
-0.035744920 0.055611982 1.432981652
0.041872863 0.052509149 1.657003134
p 3
1.200219002 -0.560250311 0.004372732
1.157775734 -0.481459041 0.374132949
1.091336742 -0.375111142 0.801437370
0.925858985 -0.539399791 0.803926535
0.893885712 -0.550879236 0.422751180
0.975225086 -0.672961632 0.030096724
1.257293533 -0.346056058 1.011406246
1.500248653 -0.367187877 1.211059890
1.241645529 -0.405069067 1.372510838
0.926175755 -0.631406820 1.361363345
0.880448612 -0.758003354 1.135135297
0.871215581 -0.597114043 0.908101491
1.036203546 -0.475501658 1.489234281
0.998405911 -0.457305874 1.639769165
frame 324
p 1
-0.137893393 -0.109480038 -0.049446944
-0.064012001 -0.071670459 0.351150251
-0.059943081 -0.033303747 0.722778558
-0.015886303 0.180526127 0.749095089
0.012845635 0.136115250 0.342405027
-0.016707033 0.134153338 -0.062492674
-0.017366915 -0.135135378 0.810825324
-0.106758185 -0.151194571 1.005230174
-0.087534311 -0.105630270 1.281006996
-0.023082684 0.226420379 1.296969536
-0.023513437 0.273776010 1.006974307
0.101471680 0.191964866 0.801597585
-0.030292760 0.062073341 1.433547316
0.039949541 0.074635147 1.659816092
p 3
1.200219002 -0.560250311 0.004372732
1.157775734 -0.481459041 0.374132949
1.124539594 -0.418409393 0.781947159
0.923526796 -0.535562415 0.804925043
0.893885712 -0.550879236 0.422751180
0.954833248 -0.661662307 0.025762890
1.254129432 -0.341910493 1.012378058
1.496594888 -0.362773871 1.211903379
1.238534195 -0.400861597 1.373175613
0.986241190 -0.634835071 1.358232009
0.886962470 -0.773490202 1.163467657
0.877480820 -0.583160772 0.923938847
1.049615100 -0.471801874 1.487784044
1.052231722 -0.454577599 1.633994442
frame 325
p 1
-0.137893393 -0.109480038 -0.049446944
-0.046719142 -0.052283959 0.346328678
-0.059943081 -0.033303747 0.722778558
-0.015886303 0.180526127 0.749095089
0.001055277 0.160126991 0.354057987
-0.016707033 0.134153338 -0.062492674
-0.015850079 -0.136152239 0.811925066
-0.088760556 -0.147581358 0.999289470
